Zmienna,Typ informacji,Charakter miejscowości,Jednostka terytorialna,2021,2022,2023
Zużycie energii elektrycznej w gospodarstwach domowych,na 1 odbiorcę [kWh],Miasto,MAŁOPOLSKIE,1862.2336,1730.7342,1712.98036
